"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_chr","gene_start","gene_end","gene_strand","gene_length","gene_biotype","gene_description","tf_family"
"ENSMUSG00000003882","ENSMUSG00000003882",2657.19754254034,-4.97173450687282,0.118699185080608,-41.8851612460232,0,0,"Il7r","15",9505788,9530176,"-",4663,"protein_coding","interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]","-"
"ENSMUSG00000023992","ENSMUSG00000023992",9680.18037092335,-4.81055202625185,0.140792491726404,-34.1676744779827,7.30725781116134e-256,7.96271883682251e-252,"Trem2","17",48346401,48354147,"+",4946,"protein_coding","triggering receptor expressed on myeloid cells 2 [Source:MGI Symbol;Acc:MGI:1913150]","-"
"ENSMUSG00000030047","ENSMUSG00000030047",4835.77830586002,-4.07200900904133,0.120291935666195,-33.8510556546448,3.5016754413958e-251,2.54385048565934e-247,"Arhgap25","6",87458545,87533259,"-",4434,"protein_coding","Rho GTPase activating protein 25 [Source:MGI Symbol;Acc:MGI:2443687]","-"
"ENSMUSG00000035186","ENSMUSG00000035186",6250.39923155196,-5.5092100528072,0.170124349100779,-32.3834306019511,4.69685463626898e-230,2.55908124857115e-226,"Ubd","17",37193892,37196095,"+",931,"protein_coding","ubiquitin D [Source:MGI Symbol;Acc:MGI:1344410]","-"
"ENSMUSG00000026981","ENSMUSG00000026981",1436.08066568129,-4.68349803790439,0.147218608744189,-31.8132203384869,4.24922905563253e-222,1.85215396076911e-218,"Il1rn","2",24336853,24351494,"+",5535,"protein_coding","interleukin 1 receptor antagonist [Source:MGI Symbol;Acc:MGI:96547]","-"
"ENSMUSG00000025473","ENSMUSG00000025473",10263.0628737742,-4.6526886367848,0.151253206132144,-30.7609257070553,8.73496145822524e-208,3.17282916700935e-204,"Adam8","7",139978932,139992562,"-",4638,"protein_coding","a disintegrin and metallopeptidase domain 8 [Source:MGI Symbol;Acc:MGI:107825]","-"
"ENSMUSG00000040751","ENSMUSG00000040751",1783.91509230508,-3.70810706816917,0.121996621594447,-30.395161929123,6.36417897396319e-203,1.9814416651222e-199,"Lat2","5",134600022,134615025,"-",2621,"protein_coding","linker for activation of T cells family, member 2 [Source:MGI Symbol;Acc:MGI:1926479]","-"
"ENSMUSG00000032122","ENSMUSG00000032122",8004.50781197863,-4.50115128155825,0.150727311173288,-29.8628778455643,5.9739950254853e-196,1.62746559481783e-192,"Slc37a2","9",37227585,37255738,"-",6643,"protein_coding","solute carrier family 37 (glycerol-3-phosphate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1929693]","-"
"ENSMUSG00000027698","ENSMUSG00000027698",5087.55805189503,-3.76537234526065,0.126419991420427,-29.7846274386967,6.17908046674924e-195,1.49629866324814e-191,"Nceh1","3",27182965,27284608,"+",5253,"protein_coding","neutral cholesterol ester hydrolase 1 [Source:MGI Symbol;Acc:MGI:2443191]","-"
"ENSMUSG00000026358","ENSMUSG00000026358",2075.02770712865,-6.48904994210129,0.221758079397994,-29.2618422729719,3.17418429647502e-188,6.91781725573766e-185,"Rgs1","1",144242296,144249242,"-",6947,"protein_coding","regulator of G-protein signaling 1 [Source:MGI Symbol;Acc:MGI:1354694]","-"
